Iso3_code,Country,Region,Subregion,Indicator,Dimension,Category,Sex,Age,Year,Unit of measurement,VALUE,Source
ALB,Albania,Europe,Southern Europe,Offences,by type of offence,Corruption: Other acts of corruption,Total,Total,2015,Counts,821,CTS
ALB,Albania,Europe,Southern Europe,Offences,by type of offence,Unlawful access to a computer system,Total,Total,2015,Counts,5,CTS
ALB,Albania,Europe,Southern Europe,Offences,by type of offence,Unlawful interference with a computer system or computer data,Total,Total,2015,Counts,40,CTS
ALB,Albania,Europe,Southern Europe,Offences,by type of offence,Unlawful interception or access of computer data,Total,Total,2015,Counts,0,CTS
ALB,Albania,Europe,Southern Europe,Acts against the environment,by type of offence,Acts that cause environmental pollution or degradation,Total,Total,2015,Counts,37,CTS
ALB,Albania,Europe,Southern Europe,Acts against the environment,by type of offence,Acts involving the movement of dumping of waste,Total,Total,2015,Counts,1,CTS
ALB,Albania,Europe,Southern Europe,Acts against the environment,by type of offence,Acts that result in the depletion of degradation of natural resources,Total,Total,2015,Counts,379,CTS
ALB,Albania,Europe,Southern Europe,Offences,by type of offence,Theft,Total,Total,2015,Counts,7012,CTS
ALB,Albania,Europe,Southern Europe,Offences,by type of offence,Fraud,Total,Total,2015,Counts,736,CTS
ALB,Albania,Europe,Southern Europe,Offences,by type of offence,Fraud: Cyber-related (Cy),Total,Total,2015,Counts,51,CTS
ALB,Albania,Europe,Southern Europe,Offences,by type of offence,Money laundering,Total,Total,2015,Counts,341,CTS
ALB,Albania,Europe,Southern Europe,Offences,by type of offence,Smuggling of migrants,Total,Total,2016,Counts,63,CTS
ALB,Albania,Europe,Southern Europe,Offences,by type of offence,Theft: of a motorized vehicle,Total,Total,2016,Counts,298,CTS
ALB,Albania,Europe,Southern Europe,Offences,by type of offence,Fraud: Cyber-related (Cy),Total,Total,2016,Counts,51,CTS
ALB,Albania,Europe,Southern Europe,Offences,by type of offence,Corruption,Total,Total,2016,Counts,1032,CTS
ALB,Albania,Europe,Southern Europe,Offences,by type of offence,Corruption: Bribery,Total,Total,2016,Counts,256,CTS
ALB,Albania,Europe,Southern Europe,Offences,by type of offence,Corruption: Other acts of corruption,Total,Total,2016,Counts,776,CTS
ALB,Albania,Europe,Southern Europe,Offences,by type of offence,Unlawful access to a computer system,Total,Total,2016,Counts,12,CTS
ALB,Albania,Europe,Southern Europe,Offences,by type of offence,Unlawful interference with a computer system or computer data,Total,Total,2016,Counts,72,CTS
ALB,Albania,Europe,Southern Europe,Offences,by type of offence,Unlawful interception or access of computer data,Total,Total,2016,Counts,0,CTS
ALB,Albania,Europe,Southern Europe,Acts against the environment,by type of offence,Acts that cause environmental pollution or degradation,Total,Total,2016,Counts,27,CTS
ALB,Albania,Europe,Southern Europe,Acts against the environment,by type of offence,Acts involving the movement of dumping of waste,Total,Total,2016,Counts,0,CTS
ALB,Albania,Europe,Southern Europe,Acts against the environment,by type of offence,Acts that result in the depletion of degradation of natural resources,Total,Total,2016,Counts,224,CTS
ALB,Albania,Europe,Southern Europe,Offences,by type of offence,Theft,Total,Total,2016,Counts,5641,CTS
ALB,Albania,Europe,Southern Europe,Offences,by type of offence,Fraud,Total,Total,2016,Counts,913,CTS
ALB,Albania,Europe,Southern Europe,Offences,by type of offence,Money laundering,Total,Total,2016,Counts,365,CTS
ALB,Albania,Europe,Southern Europe,Offences,by type of offence,Corruption,Total,Total,2017,Counts,1154,CTS
ALB,Albania,Europe,Southern Europe,Offences,by type of offence,Corruption: Bribery,Total,Total,2017,Counts,297,CTS
ALB,Albania,Europe,Southern Europe,Offences,by type of offence,Corruption: Other acts of corruption,Total,Total,2017,Counts,857,CTS
ALB,Albania,Europe,Southern Europe,Offences,by type of offence,Smuggling of migrants,Total,Total,2017,Counts,61,CTS
ALB,Albania,Europe,Southern Europe,Offences,by type of offence,Unlawful access to a computer system,Total,Total,2017,Counts,9,CTS
ALB,Albania,Europe,Southern Europe,Offences,by type of offence,Unlawful interference with a computer system or computer data,Total,Total,2017,Counts,68,CTS
ALB,Albania,Europe,Southern Europe,Offences,by type of offence,Unlawful interception or access of computer data,Total,Total,2017,Counts,0,CTS
ALB,Albania,Europe,Southern Europe,Acts against the environment,by type of offence,Acts that cause environmental pollution or degradation,Total,Total,2017,Counts,46,CTS
ALB,Albania,Europe,Southern Europe,Acts against the environment,by type of offence,Acts involving the movement of dumping of waste,Total,Total,2017,Counts,0,CTS
ALB,Albania,Europe,Southern Europe,Acts against the environment,by type of offence,Acts that result in the depletion of degradation of natural resources,Total,Total,2017,Counts,289,CTS
ALB,Albania,Europe,Southern Europe,Offences,by type of offence,Theft,Total,Total,2017,Counts,5096,CTS
ALB,Albania,Europe,Southern Europe,Offences,by type of offence,Theft: of a motorized vehicle,Total,Total,2017,Counts,329,CTS
ALB,Albania,Europe,Southern Europe,Offences,by type of offence,Fraud,Total,Total,2017,Counts,1018,CTS
ALB,Albania,Europe,Southern Europe,Offences,by type of offence,Fraud: Cyber-related (Cy),Total,Total,2017,Counts,77,CTS
ALB,Albania,Europe,Southern Europe,Offences,by type of offence,Money laundering,Total,Total,2017,Counts,379,CTS
ALB,Albania,Europe,Southern Europe,Offences,by type of offence,Unlawful access to a computer system,Total,Total,2018,Counts,12,CTS
ALB,Albania,Europe,Southern Europe,Offences,by type of offence,Unlawful interference with a computer system or computer data,Total,Total,2018,Counts,55,CTS
ALB,Albania,Europe,Southern Europe,Offences,by type of offence,Unlawful interception or access of computer data,Total,Total,2018,Counts,0,CTS
ALB,Albania,Europe,Southern Europe,Acts against the environment,by type of offence,Acts that cause environmental pollution or degradation,Total,Total,2018,Counts,112,CTS
ALB,Albania,Europe,Southern Europe,Acts against the environment,by type of offence,Acts involving the movement of dumping of waste,Total,Total,2018,Counts,0,CTS
ALB,Albania,Europe,Southern Europe,Acts against the environment,by type of offence,Acts that result in the depletion of degradation of natural resources,Total,Total,2018,Counts,265,CTS
ALB,Albania,Europe,Southern Europe,Offences,by type of offence,Corruption,Total,Total,2018,Counts,1033,CTS
ALB,Albania,Europe,Southern Europe,Offences,by type of offence,Corruption: Bribery,Total,Total,2018,Counts,274,CTS
ALB,Albania,Europe,Southern Europe,Offences,by type of offence,Corruption: Other acts of corruption,Total,Total,2018,Counts,759,CTS
ALB,Albania,Europe,Southern Europe,Offences,by type of offence,Smuggling of migrants,Total,Total,2018,Counts,127,CTS
ALB,Albania,Europe,Southern Europe,Offences,by type of offence,Theft,Total,Total,2018,Counts,5414,CTS
ALB,Albania,Europe,Southern Europe,Offences,by type of offence,Theft: of a motorized vehicle,Total,Total,2018,Counts,252,CTS
ALB,Albania,Europe,Southern Europe,Offences,by type of offence,Fraud,Total,Total,2018,Counts,941,CTS
ALB,Albania,Europe,Southern Europe,Offences,by type of offence,Fraud: Cyber-related (Cy),Total,Total,2018,Counts,60,CTS
ALB,Albania,Europe,Southern Europe,Offences,by type of offence,Money laundering,Total,Total,2018,Counts,351,CTS
ALB,Albania,Europe,Southern Europe,Offences,by type of offence,Corruption,Total,Total,2019,Counts,1330,CTS
ALB,Albania,Europe,Southern Europe,Offences,by type of offence,Corruption: Bribery,Total,Total,2019,Counts,305,CTS
ALB,Albania,Europe,Southern Europe,Offences,by type of offence,Corruption: Other acts of corruption,Total,Total,2019,Counts,1025,CTS
ALB,Albania,Europe,Southern Europe,Offences,by type of offence,Smuggling of migrants,Total,Total,2019,Counts,146,CTS
ALB,Albania,Europe,Southern Europe,Offences,by type of offence,Unlawful access to a computer system,Total,Total,2019,Counts,14,CTS
ALB,Albania,Europe,Southern Europe,Offences,by type of offence,Unlawful interference with a computer system or computer data,Total,Total,2019,Counts,70,CTS
ALB,Albania,Europe,Southern Europe,Offences,by type of offence,Unlawful interception or access of computer data,Total,Total,2019,Counts,0,CTS
ALB,Albania,Europe,Southern Europe,Acts against the environment,by type of offence,Acts that cause environmental pollution or degradation,Total,Total,2019,Counts,114,CTS
ALB,Albania,Europe,Southern Europe,Acts against the environment,by type of offence,Acts involving the movement of dumping of waste,Total,Total,2019,Counts,0,CTS
ALB,Albania,Europe,Southern Europe,Acts against the environment,by type of offence,Acts that result in the depletion of degradation of natural resources,Total,Total,2019,Counts,293,CTS
ALB,Albania,Europe,Southern Europe,Offences,by type of offence,Theft,Total,Total,2019,Counts,4833,CTS
ALB,Albania,Europe,Southern Europe,Offences,by type of offence,Theft: of a motorized vehicle,Total,Total,2019,Counts,318,CTS
ALB,Albania,Europe,Southern Europe,Offences,by type of offence,Fraud,Total,Total,2019,Counts,874,CTS
ALB,Albania,Europe,Southern Europe,Offences,by type of offence,Fraud: Cyber-related (Cy),Total,Total,2019,Counts,47,CTS
ALB,Albania,Europe,Southern Europe,Offences,by type of offence,Money laundering,Total,Total,2019,Counts,401,CTS
ALB,Albania,Europe,Southern Europe,Offences,by type of offence,Corruption,Total,Total,2020,Counts,847,CTS
ALB,Albania,Europe,Southern Europe,Offences,by type of offence,Corruption: Bribery,Total,Total,2020,Counts,161,CTS
ALB,Albania,Europe,Southern Europe,Offences,by type of offence,Corruption: Other acts of corruption,Total,Total,2020,Counts,686,CTS
ALB,Albania,Europe,Southern Europe,Offences,by type of offence,Smuggling of migrants,Total,Total,2020,Counts,304,CTS
ALB,Albania,Europe,Southern Europe,Offences,by type of offence,Theft,Total,Total,2020,Counts,4400,CTS
ALB,Albania,Europe,Southern Europe,Offences,by type of offence,Theft: of a motorized vehicle,Total,Total,2020,Counts,199,CTS
ALB,Albania,Europe,Southern Europe,Offences,by type of offence,Fraud,Total,Total,2020,Counts,798,CTS
ALB,Albania,Europe,Southern Europe,Offences,by type of offence,Fraud: Cyber-related (Cy),Total,Total,2020,Counts,56,CTS
ALB,Albania,Europe,Southern Europe,Offences,by type of offence,Money laundering,Total,Total,2020,Counts,417,CTS
AND,Andorra,Europe,Southern Europe,Offences,by type of offence,Theft,Total,Total,2007,Counts,1062,CTS
AND,Andorra,Europe,Southern Europe,Offences,by type of offence,Burglary,Total,Total,2007,Counts,117,CTS
AND,Andorra,Europe,Southern Europe,Offences,by type of offence,Theft,Total,Total,2008,Counts,977,CTS
AND,Andorra,Europe,Southern Europe,Offences,by type of offence,Burglary,Total,Total,2008,Counts,140,CTS
AND,Andorra,Europe,Southern Europe,Offences,by type of offence,Theft,Total,Total,2009,Counts,1004,CTS
AND,Andorra,Europe,Southern Europe,Offences,by type of offence,Burglary,Total,Total,2009,Counts,148,CTS
AND,Andorra,Europe,Southern Europe,Offences,by type of offence,Theft,Total,Total,2010,Counts,1117,CTS
AND,Andorra,Europe,Southern Europe,Offences,by type of offence,Burglary,Total,Total,2010,Counts,133,CTS
AND,Andorra,Europe,Southern Europe,Offences,by type of offence,Theft,Total,Total,2011,Counts,1063,CTS
AND,Andorra,Europe,Southern Europe,Offences,by type of offence,Burglary,Total,Total,2011,Counts,103,CTS
AND,Andorra,Europe,Southern Europe,Offences,by type of offence,Theft,Total,Total,2012,Counts,1007,CTS
AND,Andorra,Europe,Southern Europe,Offences,by type of offence,Burglary,Total,Total,2012,Counts,90,CTS
AND,Andorra,Europe,Southern Europe,Offences,by type of offence,Theft,Total,Total,2013,Counts,1001,CTS
AND,Andorra,Europe,Southern Europe,Offences,by type of offence,Burglary,Total,Total,2013,Counts,90,CTS
AND,Andorra,Europe,Southern Europe,Offences,by type of offence,Theft,Total,Total,2014,Counts,936,CTS
AND,Andorra,Europe,Southern Europe,Offences,by type of offence,Theft: of a motorized vehicle,Total,Total,2014,Counts,0,CTS
AND,Andorra,Europe,Southern Europe,Offences,by type of offence,Burglary,Total,Total,2014,Counts,89,CTS
AND,Andorra,Europe,Southern Europe,Offences,by type of offence,Theft,Total,Total,2015,Counts,1046,CTS
AND,Andorra,Europe,Southern Europe,Offences,by type of offence,Burglary,Total,Total,2015,Counts,80,CTS
AND,Andorra,Europe,Southern Europe,Offences,by type of offence,Corruption,Total,Total,2016,Counts,1,CTS
AND,Andorra,Europe,Southern Europe,Offences,by type of offence,Corruption: Bribery,Total,Total,2016,Counts,0,CTS
AND,Andorra,Europe,Southern Europe,Offences,by type of offence,Corruption: Other acts of corruption,Total,Total,2016,Counts,1,CTS
AND,Andorra,Europe,Southern Europe,Offences,by type of offence,Smuggling of migrants,Total,Total,2016,Counts,0,CTS
AND,Andorra,Europe,Southern Europe,Acts against the environment,by type of offence,Acts that cause environmental pollution or degradation,Total,Total,2016,Counts,0,CTS
AND,Andorra,Europe,Southern Europe,Acts against the environment,by type of offence,Acts involving the movement of dumping of waste,Total,Total,2016,Counts,0,CTS
AND,Andorra,Europe,Southern Europe,Acts against the environment,by type of offence,Trade or possession of protected or prohibited species of faune and flora,Total,Total,2016,Counts,0,CTS
AND,Andorra,Europe,Southern Europe,Acts against the environment,by type of offence,Acts that result in the depletion of degradation of natural resources,Total,Total,2016,Counts,0,CTS
AND,Andorra,Europe,Southern Europe,Offences,by type of offence,Corruption,Total,Total,2017,Counts,0,CTS
AND,Andorra,Europe,Southern Europe,Offences,by type of offence,Corruption: Bribery,Total,Total,2017,Counts,0,CTS
AND,Andorra,Europe,Southern Europe,Offences,by type of offence,Corruption: Other acts of corruption,Total,Total,2017,Counts,0,CTS
AND,Andorra,Europe,Southern Europe,Offences,by type of offence,Smuggling of migrants,Total,Total,2017,Counts,0,CTS
AND,Andorra,Europe,Southern Europe,Acts against the environment,by type of offence,Acts that cause environmental pollution or degradation,Total,Total,2017,Counts,0,CTS
AND,Andorra,Europe,Southern Europe,Acts against the environment,by type of offence,Acts involving the movement of dumping of waste,Total,Total,2017,Counts,0,CTS
AND,Andorra,Europe,Southern Europe,Acts against the environment,by type of offence,Trade or possession of protected or prohibited species of faune and flora,Total,Total,2017,Counts,0,CTS
AND,Andorra,Europe,Southern Europe,Acts against the environment,by type of offence,Acts that result in the depletion of degradation of natural resources,Total,Total,2017,Counts,0,CTS
AND,Andorra,Europe,Southern Europe,Offences,by type of offence,Corruption,Total,Total,2018,Counts,0,CTS
AND,Andorra,Europe,Southern Europe,Offences,by type of offence,Corruption: Bribery,Total,Total,2018,Counts,0,CTS
AND,Andorra,Europe,Southern Europe,Offences,by type of offence,Corruption: Other acts of corruption,Total,Total,2018,Counts,0,CTS
AND,Andorra,Europe,Southern Europe,Offences,by type of offence,Smuggling of migrants,Total,Total,2018,Counts,1,CTS
AND,Andorra,Europe,Southern Europe,Acts against the environment,by type of offence,Acts that cause environmental pollution or degradation,Total,Total,2018,Counts,0,CTS
AND,Andorra,Europe,Southern Europe,Acts against the environment,by type of offence,Acts involving the movement of dumping of waste,Total,Total,2018,Counts,0,CTS
AND,Andorra,Europe,Southern Europe,Acts against the environment,by type of offence,Trade or possession of protected or prohibited species of faune and flora,Total,Total,2018,Counts,0,CTS
AND,Andorra,Europe,Southern Europe,Acts against the environment,by type of offence,Acts that result in the depletion of degradation of natural resources,Total,Total,2018,Counts,0,CTS
AND,Andorra,Europe,Southern Europe,Offences,by type of offence,Corruption,Total,Total,2019,Counts,0,CTS
AND,Andorra,Europe,Southern Europe,Offences,by type of offence,Corruption: Bribery,Total,Total,2019,Counts,0,CTS
AND,Andorra,Europe,Southern Europe,Offences,by type of offence,Corruption: Other acts of corruption,Total,Total,2019,Counts,0,CTS
AND,Andorra,Europe,Southern Europe,Offences,by type of offence,Smuggling of migrants,Total,Total,2019,Counts,1,CTS
AND,Andorra,Europe,Southern Europe,Acts against the environment,by type of offence,Acts that cause environmental pollution or degradation,Total,Total,2019,Counts,0,CTS
AND,Andorra,Europe,Southern Europe,Acts against the environment,by type of offence,Acts involving the movement of dumping of waste,Total,Total,2019,Counts,0,CTS
AND,Andorra,Europe,Southern Europe,Acts against the environment,by type of offence,Trade or possession of protected or prohibited species of faune and flora,Total,Total,2019,Counts,0,CTS
AND,Andorra,Europe,Southern Europe,Acts against the environment,by type of offence,Acts that result in the depletion of degradation of natural resources,Total,Total,2019,Counts,0,CTS
ARE,United Arab Emirates,Asia,Western Asia,Offences,by type of offence,Theft,Total,Total,2003,Counts,10802,CTS
ARE,United Arab Emirates,Asia,Western Asia,Offences,by type of offence,Theft: of a motorized vehicle,Total,Total,2003,Counts,677,CTS
ARE,United Arab Emirates,Asia,Western Asia,Offences,by type of offence,Burglary,Total,Total,2003,Counts,1882,CTS
ARE,United Arab Emirates,Asia,Western Asia,Offences,by type of offence,Theft,Total,Total,2004,Counts,11037,CTS
ARE,United Arab Emirates,Asia,Western Asia,Offences,by type of offence,Theft: of a motorized vehicle,Total,Total,2004,Counts,519,CTS
ARE,United Arab Emirates,Asia,Western Asia,Offences,by type of offence,Burglary,Total,Total,2004,Counts,2153,CTS
ARE,United Arab Emirates,Asia,Western Asia,Offences,by type of offence,Theft: of a motorized vehicle,Total,Total,2005,Counts,520,CTS
ARE,United Arab Emirates,Asia,Western Asia,Offences,by type of offence,Theft: of a motorized vehicle,Total,Total,2006,Counts,606,CTS
ARE,United Arab Emirates,Asia,Western Asia,Offences,by type of offence,Theft,Total,Total,2012,Counts,14984,CTS
ARE,United Arab Emirates,Asia,Western Asia,Offences,by type of offence,Theft: of a motorized vehicle,Total,Total,2012,Counts,1093,CTS
ARE,United Arab Emirates,Asia,Western Asia,Offences,by type of offence,Theft,Total,Total,2013,Counts,2385,CTS
ARE,United Arab Emirates,Asia,Western Asia,Offences,by type of offence,Theft: of a motorized vehicle,Total,Total,2013,Counts,927,CTS
ARE,United Arab Emirates,Asia,Western Asia,Offences,by type of offence,Burglary,Total,Total,2013,Counts,5016,CTS
ARE,United Arab Emirates,Asia,Western Asia,Offences,by type of offence,Theft: of a motorized vehicle,Total,Total,2014,Counts,801,CTS
ARE,United Arab Emirates,Asia,Western Asia,Offences,by type of offence,Theft,Total,Total,2014,Counts,6541,CTS
ARE,United Arab Emirates,Asia,Western Asia,Offences,by type of offence,Burglary,Total,Total,2014,Counts,1638,CTS
ARE,United Arab Emirates,Asia,Western Asia,Offences,by type of offence,Theft,Total,Total,2015,Counts,6211,CTS
ARE,United Arab Emirates,Asia,Western Asia,Offences,by type of offence,Theft: of a motorized vehicle,Total,Total,2015,Counts,758,CTS
ARE,United Arab Emirates,Asia,Western Asia,Offences,by type of offence,Burglary,Total,Total,2015,Counts,1558,CTS
ARE,United Arab Emirates,Asia,Western Asia,Offences,by type of offence,Corruption: Bribery,Total,Total,2016,Counts,72,CTS
ARE,United Arab Emirates,Asia,Western Asia,Offences,by type of offence,Corruption: Other acts of corruption,Total,Total,2016,Counts,95,CTS
ARE,United Arab Emirates,Asia,Western Asia,Offences,by type of offence,Smuggling of migrants,Total,Total,2016,Counts,123,CTS
ARE,United Arab Emirates,Asia,Western Asia,Offences,by type of offence,Burglary,Total,Total,2016,Counts,942,CTS
ARE,United Arab Emirates,Asia,Western Asia,Offences,by type of offence,Theft,Total,Total,2016,Counts,4803,CTS
ARE,United Arab Emirates,Asia,Western Asia,Offences,by type of offence,Theft: of a motorized vehicle,Total,Total,2016,Counts,750,CTS
ARE,United Arab Emirates,Asia,Western Asia,Offences,by type of offence,Fraud,Total,Total,2016,Counts,4079,CTS
ARE,United Arab Emirates,Asia,Western Asia,Offences,by type of offence,Fraud: Cyber-related (Cy),Total,Total,2016,Counts,1005,CTS
ARE,United Arab Emirates,Asia,Western Asia,Offences,by type of offence,Money laundering,Total,Total,2016,Counts,100,CTS
ARE,United Arab Emirates,Asia,Western Asia,Offences,by type of offence,Corruption: Bribery,Total,Total,2017,Counts,67,CTS
ARE,United Arab Emirates,Asia,Western Asia,Offences,by type of offence,Corruption: Other acts of corruption,Total,Total,2017,Counts,34,CTS
ARE,United Arab Emirates,Asia,Western Asia,Offences,by type of offence,Smuggling of migrants,Total,Total,2017,Counts,45,CTS
ARE,United Arab Emirates,Asia,Western Asia,Offences,by type of offence,Burglary,Total,Total,2017,Counts,872,CTS
ARE,United Arab Emirates,Asia,Western Asia,Offences,by type of offence,Theft,Total,Total,2017,Counts,4509,CTS
ARE,United Arab Emirates,Asia,Western Asia,Offences,by type of offence,Theft: of a motorized vehicle,Total,Total,2017,Counts,650,CTS
ARE,United Arab Emirates,Asia,Western Asia,Offences,by type of offence,Smuggling of migrants,Total,Total,2018,Counts,35,CTS
ARE,United Arab Emirates,Asia,Western Asia,Offences,by type of offence,Burglary,Total,Total,2018,Counts,863,CTS
ARE,United Arab Emirates,Asia,Western Asia,Offences,by type of offence,Theft,Total,Total,2018,Counts,4633,CTS
ARE,United Arab Emirates,Asia,Western Asia,Offences,by type of offence,Theft: of a motorized vehicle,Total,Total,2018,Counts,553,CTS
ARE,United Arab Emirates,Asia,Western Asia,Offences,by type of offence,Unlawful access to a computer system,Total,Total,2019,Counts,174,CTS
ARE,United Arab Emirates,Asia,Western Asia,Offences,by type of offence,Unlawful interference with a computer system or computer data,Total,Total,2019,Counts,54,CTS
ARE,United Arab Emirates,Asia,Western Asia,Offences,by type of offence,Unlawful interception or access of computer data,Total,Total,2019,Counts,22,CTS
ARG,Argentina,Americas,Latin America and the Caribbean,Offences,by type of offence,Theft,Total,Total,2005,Counts,303669,CTS
ARG,Argentina,Americas,Latin America and the Caribbean,Offences,by type of offence,Theft: of a motorized vehicle,Total,Total,2005,Counts,52560,CTS
ARG,Argentina,Americas,Latin America and the Caribbean,Offences,by type of offence,Theft,Total,Total,2006,Counts,292041,CTS
ARG,Argentina,Americas,Latin America and the Caribbean,Offences,by type of offence,Theft: of a motorized vehicle,Total,Total,2006,Counts,52727,CTS
ARG,Argentina,Americas,Latin America and the Caribbean,Offences,by type of offence,Theft,Total,Total,2007,Counts,264797,CTS
ARG,Argentina,Americas,Latin America and the Caribbean,Offences,by type of offence,Theft: of a motorized vehicle,Total,Total,2007,Counts,53200,CTS
ARG,Argentina,Americas,Latin America and the Caribbean,Offences,by type of offence,Theft,Total,Total,2008,Counts,284205,CTS
ARG,Argentina,Americas,Latin America and the Caribbean,Offences,by type of offence,Theft: of a motorized vehicle,Total,Total,2008,Counts,62044,CTS
ARG,Argentina,Americas,Latin America and the Caribbean,Offences,by type of offence,Theft,Total,Total,2014,Counts,287063,CTS
ARG,Argentina,Americas,Latin America and the Caribbean,Offences,by type of offence,Theft,Total,Total,2015,Counts,271921,CTS
ARG,Argentina,Americas,Latin America and the Caribbean,Offences,by type of offence,Theft: of a motorized vehicle,Total,Total,2015,Counts,37189,CTS
ARG,Argentina,Americas,Latin America and the Caribbean,Offences,by type of offence,Theft,Total,Total,2016,Counts,270125,CTS
ARG,Argentina,Americas,Latin America and the Caribbean,Offences,by type of offence,Theft,Total,Total,2017,Counts,254418,CTS
ARG,Argentina,Americas,Latin America and the Caribbean,Acts against the environment,by type of offence,Trade or possession of protected or prohibited species of faune and flora,Total,Total,2017,Counts,736,CTS
ARG,Argentina,Americas,Latin America and the Caribbean,Acts against the environment,by type of offence,Trade or possession of protected or prohibited species of faune and flora,Total,Total,2018,Counts,741,CTS
ARG,Argentina,Americas,Latin America and the Caribbean,Offences,by type of offence,Theft,Total,Total,2018,Counts,277292,CTS
ARG,Argentina,Americas,Latin America and the Caribbean,Acts against the environment,by type of offence,Trade or possession of protected or prohibited species of faune and flora,Total,Total,2019,Counts,1512,CTS
ARG,Argentina,Americas,Latin America and the Caribbean,Offences,by type of offence,Theft,Total,Total,2019,Counts,333350,CTS
ARG,Argentina,Americas,Latin America and the Caribbean,Offences,by type of offence,Theft,Total,Total,2020,Counts,228284,CTS
ARM,Armenia,Asia,Western Asia,Offences,by type of offence,Theft,Total,Total,2003,Counts,2831,CTS
ARM,Armenia,Asia,Western Asia,Offences,by type of offence,Theft: of a motorized vehicle,Total,Total,2003,Counts,124,CTS
ARM,Armenia,Asia,Western Asia,Offences,by type of offence,Theft,Total,Total,2004,Counts,2791,CTS
ARM,Armenia,Asia,Western Asia,Offences,by type of offence,Theft: of a motorized vehicle,Total,Total,2004,Counts,127,CTS
ARM,Armenia,Asia,Western Asia,Offences,by type of offence,Burglary,Total,Total,2004,Counts,1930,CTS
